fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.115,0.0018,0.0051,0.04,0.00104,0.04,0.23,0.009996,0.0328,0.0097,0.101,6
0.079,0.00545,0.0006,0.04,0.00087,0.27,0.61,0.009965,0.0336,0.0067,0.107,6
0.115,0.0018,0.0051,0.04,0.00104,0.04,0.23,0.009996,0.0328,0.0097,0.101,6
0.109,0.0037,0.0058,0.04,0.00071,0.17,0.65,0.0099935,0.0322,0.0078,0.101,5
0.084,0.00715,0.002,0.024,0.00076,0.1,0.38,0.0099735,0.0331,0.0064,0.094,5
0.075,0.0065,0.0018,0.07,0.00088,0.27,0.94,0.0099915,0.0338,0.0077,0.094,5
0.079,0.00545,0.0006,0.04,0.00087,0.27,0.61,0.009965,0.0336,0.0067,0.107,6
0.069,0.0054,0.0004,0.03,0.00077,0.07,0.27,0.009987,0.0369,0.0091,0.094,6
0.115,0.0018,0.0051,0.04,0.00104,0.04,0.23,0.009996,0.0328,0.0097,0.101,6
0.103,0.0032,0.0045,0.064,0.00073,0.05,0.13,0.009976,0.0323,0.0082,0.126,8
0.089,0.004,0.0032,0.056,0.00087,0.1,0.47,0.009991,0.0338,0.0077,0.105,7
0.114,0.0026,0.0044,0.036,0.00071,0.06,0.19,0.009986,0.0312,0.0082,0.093,6
0.077,0.0027,0.0068,0.035,0.00358,0.05,0.1,0.009972,0.0325,0.0108,0.099,7
0.076,0.0052,0.0012,0.03,0.00067,0.12,0.53,0.009971,0.0336,0.0057,0.091,5
0.089,0.004,0.0032,0.056,0.00087,0.1,0.47,0.009991,0.0338,0.0077,0.105,7
0.099,0.0059,0.0007,0.034,0.00102,0.32,0.71,0.0100015,0.0331,0.0071,0.098,5
0.099,0.0059,0.0007,0.034,0.00102,0.32,0.71,0.0100015,0.0331,0.0071,0.098,5
0.12,0.0045,0.0055,0.02,0.00073,0.25,0.49,0.009997,0.031,0.0076,0.103,6
0.075,0.004,0.0012,0.03,0.00092,0.29,0.53,0.009967,0.0337,0.007,0.103,6
0.087,0.0052,0.0009,0.025,0.00091,0.2,0.49,0.009976,0.0334,0.0086,0.106,7
0.116,0.0042,0.0053,0.033,0.00105,0.33,0.98,0.01001,0.032,0.0095,0.092,5
0.087,0.0052,0.0009,0.025,0.00091,0.2,0.49,0.009976,0.0334,0.0086,0.106,7
0.11,0.002,0.0048,0.02,0.00343,0.06,0.18,0.009979,0.033,0.0071,0.105,5
0.104,0.0055,0.0023,0.027,0.00091,0.18,0.48,0.009994,0.0322,0.0064,0.103,6
0.069,0.0036,0.0025,0.024,0.00098,0.05,0.16,0.009964,0.0341,0.006,0.101,6
0.133,0.0034,0.0052,0.032,0.00094,0.17,0.53,0.010014,0.0305,0.0081,0.095,6
0.108,0.005,0.0046,0.025,0.00073,0.05,0.27,0.010001,0.0305,0.0064,0.095,5
0.106,0.0083,0.0037,0.026,0.00086,0.26,0.7,0.009981,0.0316,0.0052,0.099,5
0.071,0.0063,0.0006,0.02,0.00083,0.08,0.29,0.0099855,0.0367,0.0073,0.096,5
0.072,0.0065,0.0002,0.023,0.00094,0.05,0.31,0.009993,0.0367,0.008,0.097,5
0.069,0.0067,0.0006,0.021,0.0008,0.08,0.33,0.0099845,0.0368,0.0071,0.096,5
0.075,0.0053,0.0006,0.026,0.00086,0.2,0.44,0.009965,0.0338,0.0059,0.107,6
0.111,0.0018,0.0048,0.015,0.00068,0.07,0.15,0.009973,0.0322,0.0064,0.101,6
0.083,0.00705,0.0012,0.026,0.00092,0.12,0.28,0.009994,0.0351,0.0072,0.1,5
0.074,0.0067,0.0012,0.016,0.00186,0.05,0.21,0.00996,0.0339,0.0054,0.095,5
0.084,0.0065,0.006,0.021,0.00112,0.12,0.9,0.009973,0.032,0.0052,0.092,5
0.103,0.0053,0.0048,0.025,0.00063,0.06,0.25,0.009998,0.0312,0.0059,0.093,6
0.076,0.0062,0.0032,0.022,0.00082,0.07,0.54,0.009966,0.0336,0.0052,0.094,5
0.103,0.0041,0.0042,0.024,0.00213,0.06,0.14,0.009994,0.0319,0.0062,0.095,6
0.103,0.0043,0.0044,0.024,0.00214,0.05,0.12,0.009994,0.0319,0.0063,0.095,6
0.074,0.0029,0.0038,0.017,0.00062,0.09,0.3,0.009968,0.0341,0.0053,0.095,6
0.103,0.0053,0.0048,0.025,0.00063,0.06,0.25,0.009998,0.0312,0.0059,0.093,6
0.079,0.0053,0.0024,0.02,0.00072,0.15,1.05,0.00996,0.0327,0.0054,0.094,6
0.09,0.0046,0.0031,0.028,0.00093,0.19,0.98,0.0099815,0.0332,0.0063,0.095,6
0.086,0.0047,0.003,0.03,0.00076,0.3,1.35,0.009976,0.033,0.0053,0.094,5
0.074,0.0036,0.0029,0.026,0.00087,0.26,0.72,0.0099645,0.0339,0.0068,0.11,5
0.071,0.0035,0.0029,0.025,0.00096,0.2,0.53,0.009962,0.0342,0.0065,0.11,6
0.096,0.0056,0.0023,0.034,0.00102,0.37,0.92,0.009996,0.033,0.0065,0.101,5
0.096,0.0077,0.0012,0.029,0.00082,0.3,0.74,0.0099865,0.033,0.0064,0.104,6
0.098,0.0066,0.0039,0.032,0.00083,0.21,0.59,0.009989,0.0337,0.0071,0.115,7
0.096,0.0077,0.0012,0.029,0.00082,0.3,0.74,0.0099865,0.033,0.0064,0.104,6
0.098,0.0066,0.0039,0.032,0.00083,0.21,0.59,0.009989,0.0337,0.0071,0.115,7
0.093,0.0061,0.0026,0.034,0.0009,0.25,0.87,0.0099975,0.0324,0.0062,0.097,5
0.078,0.0062,0.0005,0.023,0.00079,0.06,0.18,0.0099735,0.0329,0.0063,0.093,5
0.103,0.0059,0.0042,0.028,0.0009,0.35,0.73,0.00999,0.0328,0.007,0.095,6
0.1,0.0049,0.002,0.11,0.00071,0.13,0.5,0.010015,0.0316,0.0069,0.092,6
0.1,0.0049,0.002,0.11,0.00071,0.13,0.5,0.010015,0.0316,0.0069,0.092,6
0.116,0.0053,0.0066,0.0365,0.00121,0.06,0.14,0.009978,0.0305,0.0074,0.115,7
0.103,0.0044,0.005,0.045,0.00107,0.05,0.13,0.00998,0.0328,0.0083,0.115,5
0.134,0.0027,0.0062,0.026,0.00082,0.06,0.21,0.010002,0.0316,0.0067,0.097,6
0.107,0.0046,0.0039,0.02,0.00061,0.07,0.15,0.009981,0.0318,0.0062,0.095,5
0.102,0.0036,0.0064,0.029,0.00122,0.1,0.41,0.00998,0.0323,0.0066,0.125,6
0.102,0.0036,0.0064,0.029,0.00122,0.1,0.41,0.00998,0.0323,0.0066,0.125,6
0.08,0.0058,0.0028,0.032,0.00066,0.21,1.14,0.009973,0.0322,0.0054,0.094,6
0.084,0.0056,0.0008,0.021,0.00105,0.16,0.44,0.009958,0.0313,0.0052,0.11,5
0.079,0.0065,0.0001,0.025,0.00078,0.17,0.38,0.009963,0.0334,0.0074,0.117,7
0.119,0.00695,0.0053,0.034,0.00128,0.07,0.21,0.009992,0.0317,0.0084,0.122,7
0.089,0.0043,0.0045,0.019,0.00052,0.06,0.16,0.009948,0.0335,0.007,0.125,6
0.078,0.0043,0.0032,0.028,0.0008,0.29,0.58,0.009974,0.0331,0.0064,0.103,5
0.124,0.0049,0.0058,0.03,0.00103,0.28,0.99,0.010008,0.0316,0.01,0.115,6
0.125,0.0028,0.0054,0.023,0.00082,0.12,0.29,0.009997,0.0311,0.0136,0.098,7
0.122,0.0034,0.005,0.024,0.00066,0.1,0.21,0.01,0.0312,0.0118,0.092,6
0.106,0.0042,0.0048,0.027,0.00065,0.05,0.18,0.009972,0.0321,0.0087,0.113,6
0.109,0.0039,0.0047,0.018,0.00118,0.06,0.14,0.009982,0.033,0.0075,0.098,6
0.109,0.0039,0.0047,0.018,0.00118,0.06,0.14,0.009982,0.033,0.0075,0.098,6
0.119,0.0057,0.005,0.026,0.00082,0.06,0.32,0.010006,0.0312,0.0078,0.107,6
0.07,0.00685,0,0.019,0.00067,0.4,0.63,0.009979,0.036,0.0081,0.099,5
0.066,0.00815,0.0002,0.027,0.00072,0.17,0.34,0.009955,0.0358,0.0089,0.123,7
0.138,0.0049,0.0067,0.03,0.00093,0.06,0.15,0.009986,0.0302,0.0093,0.12,6
0.096,0.0056,0.0031,0.028,0.00089,0.15,0.46,0.009979,0.0311,0.0092,0.1,6
0.091,0.00785,0,0.026,0.00093,0.11,0.28,0.009994,0.0336,0.0086,0.094,6
0.107,0.0067,0.0022,0.027,0.00107,0.17,0.34,0.010004,0.0328,0.0098,0.099,6
0.091,0.00795,0,0.026,0.00096,0.11,0.26,0.009994,0.0335,0.0083,0.094,6
0.077,0.00665,0,0.024,0.0009,0.08,0.19,0.009974,0.0327,0.0073,0.093,5
0.135,0.0053,0.0079,0.048,0.0012,0.23,0.77,0.010018,0.0318,0.0077,0.13,5
0.061,0.0021,0.004,0.014,0.00066,0.405,1.65,0.009912,0.0325,0.0059,0.119,6
0.067,0.0075,0.0001,0.024,0.00078,0.17,0.32,0.009955,0.0355,0.0061,0.128,6
0.115,0.0041,0.0052,0.03,0.0008,0.29,0.55,0.010001,0.0326,0.0088,0.11,5
0.105,0.0042,0.0066,0.0295,0.00116,0.12,0.29,0.00997,0.0324,0.0075,0.117,7
0.119,0.0043,0.0066,0.031,0.00109,0.1,0.23,0.01,0.0315,0.0085,0.104,7
0.126,0.0038,0.0066,0.026,0.00088,0.1,0.41,0.01001,0.0317,0.0068,0.098,6
0.082,0.007,0.0023,0.02,0.00099,0.14,0.81,0.009973,0.0319,0.007,0.094,5
0.086,0.0045,0.0031,0.026,0.00086,0.21,0.5,0.009982,0.0337,0.0091,0.099,6
0.119,0.0058,0.0066,0.025,0.00072,0.06,0.37,0.009992,0.0305,0.0056,0.1,5
0.125,0.0046,0.0063,0.02,0.00071,0.06,0.15,0.009988,0.0299,0.0087,0.102,5
0.128,0.00615,0.0066,0.058,0.00083,0.07,0.42,0.010022,0.0307,0.0073,0.1,7
0.1,0.0042,0.005,0.034,0.00107,0.07,0.21,0.009979,0.0326,0.0093,0.118,6
0.128,0.00615,0.0066,0.058,0.00083,0.07,0.42,0.010022,0.0307,0.0073,0.1,7
0.104,0.00575,0.0061,0.026,0.00076,0.11,0.24,0.01,0.0316,0.0069,0.09,5
0.103,0.0034,0.0052,0.028,0.00159,0.15,0.75,0.009998,0.0318,0.0064,0.094,5
0.094,0.0027,0.0053,0.024,0.00074,0.06,0.18,0.009962,0.032,0.0113,0.12,7
0.069,0.00765,0.0002,0.023,0.00063,0.35,0.63,0.009975,0.0357,0.0078,0.099,5
0.079,0.0024,0.004,0.016,0.00056,0.11,0.25,0.009967,0.0332,0.0087,0.087,6
0.091,0.0028,0.0048,0.018,0.00067,0.26,0.46,0.009967,0.0332,0.0104,0.106,6
0.074,0.0055,0.0022,0.022,0.00106,0.12,0.72,0.009959,0.0305,0.0063,0.092,5
0.14,0.0041,0.0063,0.038,0.00089,0.06,0.47,0.010014,0.0301,0.0081,0.108,6
0.115,0.0054,0.0071,0.044,0.00124,0.06,0.15,0.009984,0.0301,0.0083,0.118,7
0.115,0.0045,0.005,0.03,0.00078,0.19,0.47,0.010003,0.0326,0.0111,0.11,6
0.094,0.0027,0.0053,0.024,0.00074,0.06,0.18,0.009962,0.032,0.0113,0.12,7
0.114,0.00625,0.0066,0.062,0.00088,0.06,0.24,0.009988,0.0311,0.0099,0.133,6
0.083,0.0042,0.0038,0.025,0.00094,0.24,0.6,0.009979,0.0331,0.007,0.108,6
0.083,0.0026,0.0042,0.02,0.0008,0.11,0.27,0.009974,0.0321,0.008,0.094,6
0.137,0.00415,0.0068,0.029,0.00085,0.17,0.43,0.010014,0.0306,0.008,0.1,6
0.083,0.0026,0.0042,0.02,0.0008,0.11,0.27,0.009974,0.0321,0.008,0.094,6
0.083,0.0026,0.0042,0.02,0.0008,0.11,0.27,0.009974,0.0321,0.008,0.094,6
0.077,0.0051,0.0028,0.021,0.00087,0.23,0.54,0.00998,0.0342,0.0074,0.092,5
0.074,0.0063,0.0007,0.024,0.0009,0.11,0.37,0.009979,0.0343,0.0076,0.097,6
0.078,0.0054,0.0026,0.02,0.00088,0.23,0.48,0.009981,0.0341,0.0074,0.092,6
0.083,0.0066,0.0015,0.019,0.00079,0.17,0.42,0.009972,0.0331,0.0054,0.096,6
0.078,0.0046,0.0026,0.019,0.00088,0.23,0.53,0.009981,0.0343,0.0074,0.092,6
0.096,0.0038,0.0031,0.025,0.00096,0.16,0.49,0.009982,0.0319,0.007,0.1,7
0.056,0.0085,0.0005,0.014,0.00045,0.12,0.88,0.009924,0.0356,0.0082,0.129,8
0.137,0.00415,0.0068,0.029,0.00085,0.17,0.43,0.010014,0.0306,0.008,0.1,6
0.095,0.0037,0.0052,0.02,0.00082,0.06,0.26,0.00998,0.0318,0.0051,0.095,5
0.084,0.00665,0.0061,0.02,0.00112,0.13,0.95,0.00997,0.0316,0.0054,0.091,5
0.127,0.006,0.0065,0.023,0.00063,0.06,0.25,0.009997,0.0303,0.0057,0.099,5
0.12,0.0037,0.0076,0.042,0.00066,0.07,0.38,0.010004,0.0322,0.006,0.13,7
0.066,0.00735,0.0002,0.079,0.00122,0.68,1.24,0.009994,0.0347,0.0053,0.099,5
0.115,0.0059,0.0059,0.026,0.00087,0.13,0.49,0.009988,0.0318,0.0065,0.11,6
0.115,0.0059,0.0059,0.026,0.00087,0.13,0.49,0.009988,0.0318,0.0065,0.11,6
0.087,0.00765,0.0022,0.023,0.00064,0.09,0.42,0.009963,0.031,0.0055,0.094,5
0.066,0.00735,0.0002,0.079,0.00122,0.68,1.24,0.009994,0.0347,0.0053,0.099,5
0.077,0.0026,0.003,0.017,0.00059,0.2,0.38,0.009949,0.0329,0.0047,0.108,6
0.122,0.0048,0.0054,0.026,0.00085,0.19,0.64,0.01,0.031,0.0061,0.105,6
0.114,0.006,0.0049,0.027,0.00085,0.1,0.41,0.009994,0.0315,0.0063,0.105,6
0.077,0.0069,0.0005,0.027,0.00075,0.15,0.27,0.009974,0.0326,0.0061,0.091,5
0.087,0.0031,0.0046,0.014,0.00059,0.11,0.25,0.009966,0.0336,0.0076,0.101,6
0.098,0.0044,0.0047,0.025,0.00063,0.09,0.28,0.009981,0.0324,0.0065,0.108,6
0.12,0.0039,0.0066,0.03,0.00093,0.12,0.3,0.009996,0.0318,0.0063,0.108,7
0.104,0.0034,0.0058,0.037,0.00174,0.06,0.16,0.00997,0.0319,0.007,0.113,6
0.125,0.0046,0.0049,0.045,0.0007,0.26,0.49,0.009981,0.0305,0.0057,0.096,4
0.09,0.0043,0.0034,0.025,0.0008,0.26,0.86,0.009987,0.0338,0.0062,0.095,6
0.091,0.0045,0.0035,0.024,0.0008,0.23,0.78,0.009987,0.0338,0.0062,0.095,5
0.071,0.00735,0.0016,0.019,0.001,0.15,0.77,0.009966,0.0327,0.0064,0.093,5
0.099,0.004,0.0053,0.067,0.00097,0.06,0.19,0.009986,0.0327,0.0082,0.117,7
0.088,0.0052,0.0034,0.027,0.00087,0.24,1.22,0.009982,0.0326,0.0061,0.095,5
0.086,0.00725,0.0024,0.066,0.00117,0.31,1.34,0.010014,0.0332,0.0107,0.093,5
0.106,0.0048,0.0064,0.022,0.00111,0.06,0.2,0.00997,0.0326,0.0066,0.117,6
0.07,0.0058,0.0012,0.019,0.00091,0.34,1.24,0.009956,0.0344,0.0048,0.105,5
0.119,0.0038,0.0051,0.02,0.00121,0.07,0.2,0.009996,0.0324,0.0076,0.104,6
0.068,0.0077,0,0.018,0.00066,0.34,0.52,0.009976,0.0362,0.0068,0.099,5
0.095,0.0056,0.0033,0.024,0.00089,0.35,0.67,0.009972,0.0328,0.0073,0.118,7
0.066,0.0084,0.0003,0.023,0.00059,0.32,0.48,0.009952,0.0352,0.0056,0.123,7
0.077,0.0096,0.002,0.02,0.00047,0.15,0.6,0.009955,0.0336,0.0044,0.109,5
0.105,0.0024,0.0047,0.021,0.00066,0.06,0.24,0.009978,0.0315,0.009,0.11,7
0.077,0.0096,0.002,0.02,0.00047,0.15,0.6,0.009955,0.0336,0.0044,0.109,5
0.066,0.0084,0.0003,0.023,0.00059,0.32,0.48,0.009952,0.0352,0.0056,0.123,7
0.064,0.0067,0.0008,0.021,0.00045,0.19,0.48,0.009949,0.0349,0.0049,0.114,6
0.095,0.0078,0.0022,0.019,0.00077,0.06,0.32,0.009988,0.0326,0.0056,0.106,6
0.091,0.0052,0.0033,0.013,0.0007,0.09,0.3,0.009978,0.0324,0.006,0.093,5
0.128,0.0084,0.0063,0.024,0.00088,0.13,0.35,0.009997,0.031,0.006,0.104,6
0.105,0.0024,0.0047,0.021,0.00066,0.06,0.24,0.009978,0.0315,0.009,0.11,7
0.078,0.0055,0.0035,0.022,0.00074,0.21,0.66,0.009974,0.0325,0.0056,0.092,5
0.119,0.0037,0.0069,0.023,0.00078,0.12,0.24,0.009958,0.03,0.0065,0.128,6
0.123,0.0039,0.0063,0.023,0.00091,0.06,0.18,0.010004,0.0316,0.0049,0.095,5
0.104,0.0041,0.0055,0.032,0.00076,0.22,0.54,0.009996,0.0315,0.0089,0.099,6
0.123,0.0039,0.0063,0.023,0.00091,0.06,0.18,0.010004,0.0316,0.0049,0.095,5
0.08,0.0067,0.003,0.02,0.0006,0.38,0.62,0.009958,0.0326,0.0056,0.102,6
0.111,0.0045,0.0073,0.032,0.00066,0.06,0.22,0.009986,0.0317,0.0066,0.112,6
0.104,0.0041,0.0055,0.032,0.00076,0.22,0.54,0.009996,0.0315,0.0089,0.099,6
0.07,0.0062,0.0018,0.015,0.00062,0.07,0.5,0.009951,0.0308,0.006,0.093,5
0.126,0.0031,0.0072,0.022,0.00072,0.06,0.29,0.009987,0.0288,0.0082,0.098,8
0.119,0.004,0.0065,0.0215,0.00068,0.07,0.27,0.009988,0.0306,0.0068,0.113,6
0.156,0.00685,0.0076,0.037,0.001,0.06,0.43,0.010032,0.0295,0.0068,0.112,7
0.1,0.0044,0.0049,0.027,0.00077,0.11,0.19,0.009963,0.0323,0.0063,0.116,7
0.053,0.0057,0.0001,0.017,0.00054,0.05,0.27,0.009934,0.0357,0.0084,0.125,7
0.095,0.00735,0.001,0.021,0.00079,0.06,0.31,0.009986,0.0323,0.0056,0.101,6
0.125,0.0038,0.006,0.026,0.00081,0.31,0.72,0.009996,0.031,0.0073,0.105,5
0.093,0.0048,0.0029,0.021,0.00127,0.06,0.16,0.009968,0.0322,0.0072,0.112,5
0.086,0.0053,0.0022,0.02,0.001,0.07,0.27,0.009967,0.032,0.0056,0.102,6
0.119,0.0039,0.0069,0.028,0.00095,0.17,0.35,0.009994,0.031,0.0061,0.108,6
0.119,0.0039,0.0069,0.028,0.00095,0.17,0.35,0.009994,0.031,0.0061,0.108,6
0.084,0.0037,0.0053,0.018,0.00413,0.09,0.26,0.009979,0.0306,0.0106,0.091,6
0.068,0.0056,0.0003,0.017,0.00084,0.18,0.35,0.009968,0.0344,0.0063,0.1,6
0.104,0.0033,0.0063,0.028,0.00084,0.05,0.22,0.009998,0.0326,0.0074,0.112,7
0.07,0.0023,0.004,0.016,0.00063,0.21,0.67,0.009952,0.035,0.0063,0.111,5
0.113,0.0062,0.0067,0.052,0.00086,0.06,0.19,0.009988,0.0322,0.0069,0.134,8
0.089,0.0059,0.0039,0.023,0.00095,0.05,0.22,0.009986,0.0337,0.0058,0.103,5
0.092,0.0063,0.0021,0.027,0.00097,0.29,0.65,0.009988,0.0328,0.0058,0.096,5
0.104,0.0033,0.0063,0.028,0.00084,0.05,0.22,0.009998,0.0326,0.0074,0.112,7
0.116,0.0058,0.0066,0.022,0.00074,0.1,0.47,0.010008,0.0325,0.0057,0.09,3
0.092,0.0043,0.0052,0.023,0.00083,0.14,0.23,0.009976,0.0335,0.0061,0.113,6
0.083,0.00615,0.0022,0.026,0.00087,0.06,0.19,0.009982,0.0326,0.0061,0.093,5
0.11,0.0026,0.0068,0.0255,0.00085,0.1,0.25,0.00997,0.0318,0.0061,0.118,5
0.081,0.0066,0.007,0.022,0.00098,0.25,1.29,0.009972,0.0308,0.0053,0.09,5
0.115,0.00315,0.0054,0.021,0.00084,0.05,0.15,0.009987,0.0298,0.007,0.092,6
0.1,0.0029,0.004,0.029,0.00098,0.1,0.26,0.010006,0.0348,0.0091,0.097,5
0.103,0.005,0.0042,0.02,0.00069,0.21,0.51,0.009982,0.0316,0.0072,0.115,6
0.088,0.0046,0.0045,0.026,0.00065,0.07,0.18,0.009947,0.0332,0.0079,0.14,6
0.114,0.0036,0.0069,0.021,0.0009,0.06,0.21,0.01,0.0317,0.0062,0.092,6
0.087,0.0082,0.0002,0.012,0.0007,0.36,0.48,0.009952,0.032,0.0058,0.098,5
0.13,0.0032,0.0065,0.026,0.00093,0.15,0.47,0.009996,0.0305,0.0061,0.106,5
0.096,0.0054,0.0042,0.024,0.00081,0.25,0.52,0.00997,0.032,0.0071,0.114,6
0.125,0.0037,0.0055,0.026,0.00083,0.25,0.68,0.009995,0.0315,0.0082,0.104,6
0.099,0.0035,0.0055,0.021,0.00062,0.05,0.14,0.009971,0.0326,0.0079,0.106,5
0.105,0.0028,0.0051,0.017,0.0008,0.1,0.24,0.009982,0.032,0.0089,0.094,6
0.096,0.0068,0.0024,0.022,0.00087,0.05,0.28,0.009988,0.0314,0.006,0.102,5
0.093,0.0027,0.0041,0.02,0.00091,0.06,0.16,0.00998,0.0328,0.007,0.097,5
0.104,0.0024,0.0049,0.018,0.00075,0.06,0.2,0.009977,0.0318,0.0106,0.11,6
0.096,0.0068,0.0024,0.022,0.00087,0.05,0.28,0.009988,0.0314,0.006,0.102,5
0.094,0.00685,0.0011,0.027,0.00077,0.06,0.31,0.009984,0.0319,0.007,0.101,6
0.106,0.0028,0.0039,0.155,0.00069,0.06,0.23,0.010026,0.0312,0.0066,0.092,5
0.094,0.003,0.0056,0.028,0.0008,0.06,0.17,0.009964,0.0315,0.0092,0.117,8
0.106,0.0036,0.0059,0.022,0.00152,0.06,0.18,0.009986,0.0304,0.0105,0.094,5
0.106,0.0036,0.006,0.022,0.00152,0.07,0.18,0.009986,0.0304,0.0106,0.094,5
0.106,0.0044,0.0068,0.041,0.00114,0.06,0.24,0.00997,0.0306,0.0066,0.134,6
0.102,0.0067,0.0039,0.019,0.00054,0.06,0.17,0.009976,0.0317,0.0047,0.1,5
0.102,0.0067,0.0039,0.019,0.00054,0.06,0.17,0.009976,0.0317,0.0047,0.1,5
0.102,0.00645,0.0036,0.018,0.00053,0.05,0.14,0.009982,0.0317,0.0042,0.1,6
0.116,0.0032,0.0055,0.028,0.00081,0.35,0.67,0.010002,0.0332,0.0092,0.108,7
0.093,0.0039,0.004,0.026,0.00073,0.1,0.26,0.009984,0.0334,0.0075,0.102,6
0.093,0.00775,0.0027,0.028,0.00078,0.24,0.56,0.009984,0.0331,0.0067,0.106,6
0.092,0.0041,0.005,0.025,0.00055,0.12,0.25,0.009952,0.0334,0.0079,0.133,7
0.089,0.004,0.0051,0.026,0.00052,0.13,0.27,0.00995,0.0332,0.009,0.134,7
0.087,0.0069,0.0031,0.03,0.00086,0.23,0.81,0.010002,0.0348,0.0074,0.116,6
0.065,0.0039,0.0023,0.083,0.00051,0.28,0.91,0.009952,0.0344,0.0055,0.121,6
0.107,0.0035,0.0053,0.026,0.0007,0.05,0.16,0.009972,0.0315,0.0065,0.11,8
0.078,0.0052,0.0025,0.019,0.00081,0.14,0.38,0.009984,0.0343,0.0065,0.09,6
0.072,0.0034,0.0032,0.025,0.0009,0.43,1.13,0.009966,0.0332,0.0079,0.111,5
0.107,0.0035,0.0053,0.026,0.0007,0.05,0.16,0.009972,0.0315,0.0065,0.11,8
0.087,0.0069,0.0031,0.03,0.00086,0.23,0.81,0.010002,0.0348,0.0074,0.116,6
0.078,0.0052,0.0025,0.019,0.00081,0.14,0.38,0.009984,0.0343,0.0065,0.09,6
0.104,0.0044,0.0073,0.0655,0.00074,0.38,0.76,0.00999,0.0317,0.0085,0.12,7
0.104,0.0044,0.0073,0.0655,0.00074,0.38,0.76,0.00999,0.0317,0.0085,0.12,7
0.105,0.0026,0.0047,0.019,0.00078,0.06,0.24,0.009976,0.0318,0.0104,0.109,7
0.105,0.0024,0.0042,0.018,0.00077,0.06,0.22,0.009976,0.0321,0.0105,0.108,7
0.102,0.0049,0.0063,0.029,0.00072,0.1,0.26,0.009968,0.0316,0.0078,0.125,7
0.104,0.0024,0.0046,0.018,0.00075,0.06,0.21,0.009976,0.0325,0.0102,0.108,7
0.112,0.0067,0.0055,0.023,0.00084,0.06,0.13,0.01,0.0317,0.0071,0.095,6
0.1,0.0059,0.0031,0.022,0.0009,0.26,0.62,0.009994,0.0318,0.0063,0.102,6
0.133,0.0029,0.0075,0.028,0.00084,0.23,0.43,0.009986,0.0304,0.0068,0.114,7
0.124,0.0042,0.0049,0.046,0.00073,0.19,0.43,0.009978,0.0302,0.0061,0.095,5
0.1,0.0059,0.0031,0.022,0.0009,0.26,0.62,0.009994,0.0318,0.0063,0.102,6
0.107,0.004,0.0048,0.021,0.00125,0.15,0.49,0.00998,0.0303,0.0081,0.097,6
0.105,0.0051,0.0064,0.024,0.00107,0.06,0.15,0.009973,0.0309,0.0066,0.118,7
0.105,0.0051,0.0064,0.024,0.00107,0.06,0.15,0.009973,0.0309,0.0066,0.118,7
0.085,0.00655,0.0049,0.061,0.00122,0.34,1.51,0.01001,0.0331,0.0114,0.093,5
0.125,0.006,0.0049,0.043,0.001,0.05,0.14,0.01001,0.0325,0.0074,0.119,6
0.104,0.0061,0.0049,0.021,0.002,0.05,0.16,0.009994,0.0316,0.0063,0.084,3
0.109,0.0021,0.0049,0.028,0.00088,0.11,0.32,0.009972,0.0322,0.0068,0.117,6
0.073,0.00365,0.0049,0.025,0.00088,0.39,1.06,0.009966,0.0336,0.0078,0.11,5
0.098,0.0025,0.0049,0.027,0.00088,0.15,0.33,0.009982,0.0342,0.009,0.1,6
0.076,0.0041,0.0049,0.02,0.00088,0.16,0.43,0.00998,0.0348,0.0064,0.091,5
0.082,0.0039,0.0049,0.023,0.00099,0.47,1.33,0.009979,0.0338,0.0099,0.098,5
0.093,0.004,0.0049,0.025,0.00085,0.38,1.42,0.009978,0.0322,0.0055,0.094,5
0.092,0.0043,0.0049,0.024,0.00086,0.23,1.16,0.009976,0.0323,0.0064,0.095,5
0.104,0.0064,0.0024,0.028,0.00105,0.29,0.53,0.009998,0.0324,0.0067,0.099,5
0.073,0.00365,0.0049,0.025,0.00088,0.39,1.06,0.009966,0.0336,0.0078,0.11,5
0.07,0.0038,0.0049,0.025,0.00097,0.33,0.85,0.009962,0.0339,0.0077,0.114,6
0.082,0.0042,0.0049,0.026,0.00084,0.32,0.55,0.009988,0.0334,0.0075,0.087,6
0.099,0.0063,0.0024,0.024,0.00077,0.06,0.33,0.009974,0.0309,0.0057,0.094,5
0.091,0.0022,0.0024,0.021,0.00078,0.01,0.28,0.00999,0.0341,0.0087,0.103,6
0.119,0.0038,0.0049,0.027,0.00098,0.12,0.42,0.010004,0.0316,0.0061,0.103,5
0.119,0.0038,0.0049,0.027,0.00098,0.12,0.42,0.010004,0.0316,0.0061,0.103,5
0.103,0.0027,0.0024,0.021,0.00072,0.15,0.33,0.009956,0.0322,0.0066,0.128,6
0.1,0.0048,0.0024,0.027,0.00102,0.13,0.32,0.01,0.0328,0.0056,0.1,6
0.091,0.0022,0.0024,0.021,0.00078,0.01,0.28,0.00999,0.0341,0.0087,0.103,6
0.099,0.0063,0.0024,0.024,0.00077,0.06,0.33,0.009974,0.0309,0.0057,0.094,5
0.081,0.00825,0.0024,0.021,0.00084,0.05,0.13,0.009972,0.0337,0.0077,0.107,6
